tid,label,lat,lon,day,hour,poi,category,price,rating,weather
127,6,40.8340978041072,-73.94526722258809,Monday,13,21580,Food,1,8.2,Clouds
127,6,40.567196,-73.882576,Monday,19,2392,Travel & Transport,-999,-999.0,Clouds
127,6,40.689912719457396,-73.9815044403076,Monday,23,35589,Travel & Transport,-999,-999.0,Clouds
127,6,40.7085883614824,-73.9910316467285,Monday,23,18603,Travel & Transport,-999,-999.0,Clouds
127,6,40.833165200622396,-73.9418603427692,Tuesday,14,36348,Residence,-999,-999.0,Clear
127,6,40.7085883614824,-73.9910316467285,Tuesday,17,18603,Travel & Transport,-999,-999.0,Clear
127,6,40.7590904609109,-73.83005619049071,Tuesday,18,19163,Travel & Transport,-999,-999.0,Clear
127,6,40.759478666551104,-73.8300985117754,Tuesday,21,13172,Travel & Transport,-999,-999.0,Clear
127,6,40.689912719457396,-73.9815044403076,Tuesday,23,35589,Travel & Transport,-999,-999.0,Clear
127,6,40.848758995215995,-73.9382779598236,Thursday,0,10736,Travel & Transport,-999,7.4,Clear
127,6,40.848845833323004,-73.9384174346924,Thursday,0,363,Travel & Transport,-999,5.6,Clear
127,6,40.88214078989179,-74.0422647901029,Thursday,1,34767,Travel & Transport,-999,6.3,Clear
127,6,40.914177997590706,-74.17763521463101,Thursday,1,26558,Professional & Other Places,-999,-999.0,Clear
127,6,40.7572212983984,-73.9915466308594,Thursday,3,35349,Travel & Transport,-999,5.5,Clear
127,6,40.7617816261867,-73.9850546682068,Thursday,3,27820,Food,3,7.9,Clear
127,6,40.815540684618,-73.9584234721819,Thursday,3,4496,Travel & Transport,-999,-999.0,Clear
127,6,40.833165200622396,-73.9418603427692,Friday,18,33179,Residence,-999,-999.0,Clear
127,6,40.8341815824087,-73.945187330246,Friday,22,30840,Travel & Transport,-999,-999.0,Clouds
127,6,40.8346576535679,-73.9451868588011,Saturday,23,17000,Shop & Service,-999,-999.0,Clear
127,6,40.833165200622396,-73.9418603427692,Sunday,20,33179,Residence,-999,-999.0,Clouds
127,6,40.8341610206876,-73.94503761167971,Sunday,21,27823,Food,1,-999.0,Clouds
127,6,40.833165200622396,-73.9418603427692,Sunday,23,15703,Residence,-999,-999.0,Clouds
128,6,40.660473835167,-73.83029108918642,Monday,17,22898,Travel & Transport,-999,-999.0,Clear
